EconomicEfficiency,EffectivenessScore,EquipmentAdvantage,KillAssistRatio,StealthKillsRatio,KDA
0.0006381620931716656,6,-20.0,3.0,0.0,3.0
0.0,0,-500.0,0.0,0.0,0.0
0.00023803856224708403,2,-250.0,1.0,0.0,1.0
0.0,0,650.0,0.0,0.0,0.0
0.0,0,-1050.0,0.0,0.0,0.0
0.0007141581860382074,8,1150.0,4.0,0.0,4.0
0.0,0,60.0,0.0,0.0,0.0
0.0,0,60.0,0.0,0.0,0.0
0.0,0,-40.0,0.0,0.0,0.0
0.0,0,-40.0,0.0,0.0,0.0
0.009950248756218905,4,-40.0,2.0,0.0,2.0
0.0005453553899291038,6,550.0,3.0,0.0,3.0
0.00021734405564007825,2,-350.0,1.0,0.0,1.0
0.00021048200378867606,2,-200.0,1.0,0.0,1.0
0.0,0,-650.0,0.0,0.0,0.0
0.0,0,650.0,0.0,0.0,0.0
0.0,0,300.0,0.0,0.0,0.0
0.0,0,300.0,0.0,0.0,0.0
0.0,0,-600.0,0.0,0.0,0.0
0.0,0,-600.0,0.0,0.0,0.0
0.0,0,600.0,0.0,0.0,0.0
0.00018178512997636792,2,260.0,1.0,0.0,1.0
0.0,0,-390.0,0.0,0.0,0.0
0.0005824111822947001,6,-90.0,3.0,0.0,3.0
0.0,0,-140.0,0.0,0.0,0.0
0.00017853954650955185,2,360.0,1.0,0.0,0.5
0.0033222591362126247,2,20.0,1.0,0.0,0.5
0.0,0,20.0,0.0,0.0,0.0
0.0,0,-80.0,0.0,0.0,0.0
0.0,1,20.0,0.0,0.0,1.0
0.0,0,20.0,0.0,0.0,0.0
0.00036357025995273584,4,90.0,2.0,0.0,2.0
0.00038087983241287375,4,-160.0,2.0,0.5,1.0
0.00017853954650955185,2,190.0,1.0,0.0,0.5
0.0,0,-210.0,0.0,0.0,0.0
0.0,1,90.0,0.0,0.0,0.5
0.00042544139544777704,5,0.0,1.0,0.0,1.5
0.00021272069772388852,2,0.0,1.0,0.0,0.5
0.0,0,0.0,0.0,0.0,0.0
0.00021272069772388852,2,0.0,1.0,0.0,0.5
0.0,0,0.0,0.0,0.0,0.0
0.0,0,0.0,0.0,0.0,0.0
0.0,1,0.0,0.0,0.0,0.5
0.00018178512997636792,2,0.0,1.0,0.0,1.0
0.00018178512997636792,2,0.0,1.0,1.0,0.5
0.0,0,0.0,0.0,0.0,0.0
0.00042544139544777704,4,0.0,2.0,0.0,2.0
0.0,0,0.0,0.0,0.0,0.0
0.00042544139544777704,4,0.0,2.0,0.0,2.0
0.00021272069772388852,2,0.0,1.0,0.0,1.0
0.0,1,0.0,0.0,0.0,0.5
0.000869187309865276,4,500.0,2.0,0.5,2.0
0.0,0,0.0,0.0,0.0,0.0
0.0,0,2900.0,0.0,0.0,0.0
0.0,0,-1600.0,0.0,0.0,0.0
0.0,0,-1800.0,0.0,0.0,0.0
0.0,0,-980.0,0.0,0.0,0.0
0.0,0,420.0,0.0,0.0,0.0
0.0,0,420.0,0.0,0.0,0.0
0.0,0,120.0,0.0,0.0,0.0
0.0,0,20.0,0.0,0.0,0.0
0.0,0,3740.0,0.0,0.0,0.0
0.00047596382674916705,2,540.0,1.0,0.0,0.5
0.0,0,-1360.0,0.0,0.0,0.0
0.0,0,-1360.0,0.0,0.0,0.0
0.0,0,-1560.0,0.0,0.0,0.0
0.014925373134328358,6,-980.0,3.0,0.6666666666666666,3.0
0.0,1,3120.0,0.0,0.0,0.5
0.000999000999000999,2,-180.0,1.0,0.0,1.0
0.004975124378109453,2,-980.0,1.0,1.0,1.0
0.0,0,-980.0,0.0,0.0,0.0
0.0,0,-230.0,0.0,0.0,0.0
0.0022205773501110288,6,920.0,3.0,0.3333333333333333,3.0
0.0,0,-230.0,0.0,0.0,0.0
0.0,0,2120.0,0.0,0.0,0.0
0.0,0,-3180.0,0.0,0.0,0.0
0.0,0,2120.0,0.0,0.0,0.0
0.0,0,2120.0,0.0,0.0,0.0
